strategy,strategy_type,selected_by_model,selection_detail,n_signals,n_entry_days,success_rate,mean_return,median_return,sum_return_signal_level,equal_signal_compounded_return,daily_proxy_compounded_return,daily_proxy_max_drawdown,daily_proxy_mean_return,daily_proxy_volatility,daily_proxy_sharpe_like,best_signal_return,worst_signal_return,success_lift_vs_baseline,mean_return_delta_vs_baseline,daily_proxy_return_delta_vs_baseline
BASELINE_TECNICO_ALL,baseline,N/A,Todas las señales V4 de los años de test,3260,592,0.5193251533742331,0.02283530586848847,0.00441114240844675,74.44309713127241,2.4088537740111755e+23,114416.03175289047,-0.9187612271332322,0.023077272849106517,0.08305304051433288,4.410920384241584,1.304679001101138,-0.3108183561888536,1.0,0.0,0.0
Dummy_TOP_10,ranking_top_fraction,Dummy,Top 10% de señales por score dentro de cada fold,327,55,0.4801223241590214,0.013982188132316452,-0.0032878722992674,4.57217551926748,16.988604040162304,1.0494648727284401,-0.4546376290434444,0.01519532852196211,0.06711080076161871,3.594329965023835,0.5398231099638454,-0.2063097098882693,0.9245119768212698,-0.008853117736172016,-114414.98228801774
Dummy_TOP_20,ranking_top_fraction,Dummy,Top 20% de señales por score dentro de cada fold,653,118,0.47320061255742724,0.011767355002217527,-0.004547324962342,7.684082816448044,50.956630148147035,4.760276069873936,-0.6726066759955597,0.018192799380790766,0.08467543037349055,3.4106911013987475,0.8589619040417783,-0.2497884292336861,0.9111836957691747,-0.011067950866270942,-114411.27147682059
Dummy_TOP_30,ranking_top_fraction,Dummy,Top 30% de señales por score dentro de cada fold,980,170,0.4806122448979592,0.01439079196561968,-0.0034545174173458,14.102976126307286,4540.318789291038,15.715367572353642,-0.7489553932629434,0.019350966595122098,0.07532496114140856,4.078157715339301,0.9942277781665334,-0.2497884292336861,0.9254553563894548,-0.008444513902868789,-114400.31638531812
LogisticRegression_TOP_10,ranking_top_fraction,LogisticRegression,Top 10% de señales por score dentro de cada fold,327,174,0.5596330275229358,0.0484530272039397,0.0177340476341052,15.844139895688283,151730.2898339937,1737.4513043524908,-0.6590125499894608,0.05439352214953523,0.15723744661604275,5.491506087298821,0.9942277781665334,-0.3079248912407684,1.077615871071926,0.025617721335451232,-112678.58044853798
LogisticRegression_TOP_20,ranking_top_fraction,LogisticRegression,Top 20% de señales por score dentro de cada fold,653,263,0.5359877488514548,0.03878494706136495,0.0096212414887772,25.32657043107131,163995835.54798105,32240.7918781186,-0.6848291235364221,0.04817897826023996,0.1363209943960513,5.610416596321774,1.304679001101138,-0.3079248912407684,1.0320850922951819,0.01594964119287648,-82175.23987477187
LogisticRegression_TOP_30,ranking_top_fraction,LogisticRegression,Top 30% de señales por score dentro de cada fold,980,329,0.5581632653061225,0.034434935999800985,0.01231979400504515,33.746237279804966,163362212726.57877,34161.61792988646,-0.7044767802976395,0.03761330666446406,0.11118647642301885,5.3701920569385555,1.304679001101138,-0.3079248912407684,1.074785732367371,0.011599630131312516,-80254.41382300401
RandomForest_TOP_10,ranking_top_fraction,RandomForest,Top 10% de señales por score dentro de cada fold,327,110,0.6574923547400612,0.06667401046229562,0.0402339547874533,21.80240142117067,42435847.704185985,876.627778369876,-0.6506618518601589,0.07519474500740646,0.16209920352068058,7.363883012409682,0.9942277781665334,-0.3079248912407684,1.2660514332265798,0.043838704593807155,-113539.4039745206
RandomForest_TOP_20,ranking_top_fraction,RandomForest,Top 20% de señales por score dentro de cada fold,653,214,0.6003062787136294,0.05355285730918465,0.0285073729169579,34.97001582289758,866063478243.8625,6650.896377689529,-0.6586476489189257,0.051331055526953585,0.15294854761986765,5.327642906278587,1.304679001101138,-0.3079248912407684,1.1559353033706037,0.030717551440696184,-107765.13537520095
RandomForest_TOP_30,ranking_top_fraction,RandomForest,Top 30% de señales por score dentro de cada fold,980,296,0.5948979591836735,0.049089954513903064,0.02626331263346965,48.108155423625,2.1739151447649416e+16,652901.3986712134,-0.750573263202771,0.054564690570957676,0.1406335914752563,6.159180040908439,1.304679001101138,-0.3079248912407684,1.1455211736200683,0.026254648645414595,538485.366918323
XGBoost_TOP_10,ranking_top_fraction,XGBoost,Top 10% de señales por score dentro de cada fold,327,117,0.6085626911314985,0.05003838599634363,0.0253945270614217,16.362552220804368,436090.9073136005,99.51782571690282,-0.5893527214338667,0.04728230048625336,0.1275594194895556,5.88418522139312,1.0318414134346243,-0.2482623775312371,1.171833652149253,0.02720308012785516,-114316.51392717357
XGBoost_TOP_20,ranking_top_fraction,XGBoost,Top 20% de señales por score dentro de cada fold,653,202,0.5482388973966309,0.03555451309575884,0.0136155221009655,23.217097051530523,48904705.38716454,671.0657748392103,-0.6543072676176513,0.03968641722126348,0.12403034168041041,5.0794211628555805,1.0318414134346243,-0.3079248912407684,1.0556756086905001,0.012719207227270372,-113744.96597805126
XGBoost_TOP_30,ranking_top_fraction,XGBoost,Top 30% de señales por score dentro de cada fold,980,261,0.5561224489795918,0.03207356901448484,0.0142148369551109,31.432097634195145,27746793451.41173,1157.8210090272785,-0.7052810759956991,0.032106511581542076,0.10023591311435305,5.084755102514956,1.0318414134346243,-0.3079248912407684,1.0708559856311102,0.009238263145996371,-113258.2107438632
Dummy_THRESHOLD_0_50,threshold_fixed_0_50,Dummy,"Señales con score >= 0,50",907,185,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053,20.39233134341948,1.424907880577928,-0.8634524556392738,0.008011593008556087,0.08126963906961261,1.5649152339372545,0.8669652496611768,-0.3079248912407684,0.8683137193098763,-0.014465002349536923,-114414.6068450099
LogisticRegression_THRESHOLD_0_50,threshold_fixed_0_50,LogisticRegression,"Señales con score >= 0,50",1613,443,0.5486670799752015,0.031837196534386665,0.0106943970844423,51.35339800996569,9.14051598223067e+16,81813.38680036199,-0.7769347871228774,0.030379787682646462,0.09921845920669878,4.860629588519093,1.304679001101138,-0.3079248912407684,1.0565001067449242,0.009001890665898196,-32602.644952528484
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,"Señales con score >= 0,50",2350,510,0.5468085106382978,0.030515752103675246,0.01026837283087155,71.71201744363682,2.8456702323327068e+23,1316598.8775093046,-0.8996123106903908,0.03288143345830602,0.10643011478158924,4.904406757083301,1.304679001101138,-0.3108183561888536,1.0529212904198766,0.007680446235186777,1202182.845756414
XGBoost_THRESHOLD_0_50,threshold_fixed_0_50,XGBoost,"Señales con score >= 0,50",1836,409,0.5430283224400871,0.028102355027762982,0.0093898568160856,51.595923830972836,7.735289328269328e+16,74459.5739774692,-0.8375134027151385,0.03212179192462869,0.0976793942062468,5.220319420832072,1.0318414134346243,-0.3079248912407684,1.045642251125035,0.005267049159274513,-39956.457775421266
Dummy_THRESHOLD_OPT_F1,threshold_optimized_f1,Dummy,Threshold optimizado por F1 en validación,907,185,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053,20.39233134341948,1.424907880577928,-0.8634524556392738,0.008011593008556087,0.08126963906961261,1.5649152339372545,0.8669652496611768,-0.3079248912407684,0.8683137193098763,-0.014465002349536923,-114414.6068450099
LogisticRegression_THRESHOLD_OPT_F1,threshold_optimized_f1,LogisticRegression,Threshold optimizado por F1 en validación,2609,499,0.5350709083940207,0.02580617281695605,0.0076036684170154,67.32830487943833,5.006640577374913e+21,30310.150496107457,-0.918761227133232,0.02423178187506816,0.08463258695489059,4.545147747845467,1.304679001101138,-0.3108183561888536,1.0303196464054976,0.0029708669484675813,-84105.88125678302
RandomForest_THRESHOLD_OPT_F1,threshold_optimized_f1,RandomForest,Threshold optimizado por F1 en validación,3244,590,0.5206535141800247,0.02299497814584658,0.004849981083816,74.5957091051263,2.866229483708839e+23,128286.84073834885,-0.9187612271332322,0.02338438007035849,0.0836480703166282,4.437825331443526,1.304679001101138,-0.3108183561888536,1.0025578595551567,0.00015967227735811176,13870.808985458381
XGBoost_THRESHOLD_OPT_F1,threshold_optimized_f1,XGBoost,Threshold optimizado por F1 en validación,3254,590,0.5190534726490473,0.022801497856666613,0.00441114240844675,74.19607402559316,1.934535640641018e+23,113217.67746262996,-0.9187612271332322,0.023132386828003247,0.08314338015235402,4.416650561915605,1.304679001101138,-0.3108183561888536,0.9994768581428791,-3.380801182185575e-05,-1198.3542902605113
